sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,sy_dist,sy_disterr1,sy_disterr2
2,6,Radial Velocity,34.94,0.038,-0.035,0.2055,0.0022,-0.0021,,,,,,,,,,0.15,0.01,-0.1,,,,524,12,-12,0,,5495,50,-50,0.96,0.02,-0.02,0.95,0.05,-0.05,0.07,0.08,-0.08,0,4.45,0.01,-0.01,7.6,3.7,-3.7,0,,,,282.563,1.776,-1.753
1,6,Transit,7.05246,0.0002,-0.00022,0.0648,0.0009,-0.0009,2.67,0.1,-0.1,6.93,1.05,-0.7,1.38,0.24,-0.17,,,,,,,,,,,K5,4540,100,-100,0.68,0.02,-0.02,0.73,0.03,-0.03,0.04,0.08,-0.08,0,4.64,0.01,-0.01,2,1,-1,0,2.33,0.15,-0.15,369.451,2.8945,-2.8945
1,6,Transit,9.52355,0.00041,-0.00029,0.0792,0.0011,-0.0011,2.74,0.12,-0.1,6.74,1.23,-0.86,1.22,0.23,-0.18,,,,,,,,,,,K5,4540,100,-100,0.68,0.02,-0.02,0.73,0.03,-0.03,0.04,0.08,-0.08,0,4.64,0.01,-0.01,2,1,-1,0,2.33,0.15,-0.15,369.451,2.8945,-2.8945
1,6,Transit,3.07222,6E-05,-4E-05,0.0372,0.0005,-0.0005,1.53,0.09,-0.07,6.75,0.69,-0.51,7.04,1.06,-1.06,,,,,,,,,,,K5,4540,100,-100,0.68,0.02,-0.02,0.73,0.03,-0.03,0.04,0.08,-0.08,0,4.64,0.01,-0.01,2,1,-1,0,2.33,0.15,-0.15,369.451,2.8945,-2.8945
1,6,Transit,4.64489,0.0002,-0.00019,0.0491,0.0007,-0.0007,1.6,0.08,-0.07,4.13,0.81,-0.95,3.75,0.89,-0.97,,,,,,,,,,,K5,4540,100,-100,0.68,0.02,-0.02,0.73,0.03,-0.03,0.04,0.08,-0.08,0,4.64,0.01,-0.01,2,1,-1,0,2.33,0.15,-0.15,369.451,2.8945,-2.8945
1,6,Transit,0.9867873,6E-08,-6E-08,0.0175,0.0002,-0.0002,1.21,0.06,-0.05,,,,,,,,,,,,,,,,,K5,4540,100,-100,0.68,0.02,-0.02,0.73,0.03,-0.03,0.04,0.08,-0.08,0,4.64,0.01,-0.01,2,1,-1,0,2.33,0.15,-0.15,369.451,2.8945,-2.8945
1,6,Transit,1.914558,1.8E-05,-1.8E-05,0.02607,0.00078,-0.00078,1.152,0.073,-0.07,1.5,0.39,-0.44,5.4,1.9,-1.7,,,,,,,1040,22,-21,0,K,4316,70,-70,0.65,0.01,-0.01,0.65,0.03,-0.03,-0.23,0.05,-0.05,0,4.45,0.15,-0.15,7.1,6.1,-5.3,0,3.31,0.24,-0.24,62.699,0.2074,-0.2061
1,6,Transit,3.23845,2E-05,-1.9E-05,0.037,0.0011,-0.0011,1.669,0.114,-0.099,4.77,0.55,-0.68,5.62,1.5,-1.3,,,,,,,873,18,-18,0,K,4316,70,-70,0.65,0.01,-0.01,0.65,0.03,-0.03,-0.23,0.05,-0.05,0,4.45,0.15,-0.15,7.1,6.1,-5.3,0,3.31,0.24,-0.24,62.699,0.2074,-0.2061
1,6,Transit,6.5577,1.6E-05,-1.6E-05,0.0592,0.0018,-0.0018,2.572,0.075,-0.078,3.01,0.8,-1.03,0.976,0.3,-0.34,,,,,,,690,14,-14,0,K,4316,70,-70,0.65,0.01,-0.01,0.65,0.03,-0.03,-0.23,0.05,-0.05,0,4.45,0.15,-0.15,7.1,6.1,-5.3,0,3.31,0.24,-0.24,62.699,0.2074,-0.2061
1,6,Transit,9.961881,4.2E-05,-4.2E-05,0.0783,0.0023,-0.0024,2.207,0.088,-0.09,3.86,1.25,-0.94,1.98,0.788,-0.53,,,,,,,600,12,-12,0,K,4316,70,-70,0.65,0.01,-0.01,0.65,0.03,-0.03,-0.23,0.05,-0.05,0,4.45,0.15,-0.15,7.1,6.1,-5.3,0,3.31,0.24,-0.24,62.699,0.2074,-0.2061
