sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,sy_dist,sy_disterr1,sy_disterr2,
1,6,Radial Velocity,94.2,0.2,-0.2,0,0.3753,0.0004,-0.0004,0,,,,,,,,,,,,,0,,,0,,,,,,,,,0,K3 V,4913,,,0,0.77,0.02,-0.02,0,0.79,0.04,-0.02,0,0.08,,,0,4.51,,,0,12.46,,,0,,,,,6.53127,0.00384,-0.00385,
1,6,Radial Velocity,2247,43,-43,0,3.11,0.04,-0.04,0,,,,,,,,,,,,,0.06,0.04,-0.04,0,,,,,,,,,0,K3 V,4913,,,0,0.77,0.02,-0.02,0,0.79,0.04,-0.02,0,0.08,,,0,4.51,,,0,12.46,,,0,,,,,6.53127,0.00384,-0.00385,
1,6,Radial Velocity,1049,11,-11,0,2.07,0.04,-0.04,0,,,,,,,,,,,,,0.27,0.07,-0.07,0,,,,,,,,,0,,5879,16,-16,0,1.38,0.02,-0.02,0,1.14,0.09,-0.09,0,0.18,,,0,4.21,0.03,-0.03,0,,,,,,,,,46.0907,0.0996,-0.0991,
1,6,Radial Velocity,214.67,0.45,-0.45,0,0.7181,0.0049,-0.0049,0,,,,,,,,,,,,,0.036,0.071,-0.036,0,,,,,,,,,0,G0 V,5836,44,-44,0,1.38,0.08,-0.08,0,1.07,0.02,-0.02,0,0.14,0.04,-0.04,0,4.21,0.08,-0.08,0,8.5,2,-2,0,,,,,46.0907,0.0996,-0.0991,
1,6,Radial Velocity,117.87,0.18,-0.18,0,0.4817,0.0033,-0.0033,0,,,,,,,,,,,,,0.027,0.051,-0.027,0,,,,,,,,,0,G0 V,5836,44,-44,0,1.38,0.08,-0.08,0,1.07,0.02,-0.02,0,0.14,0.04,-0.04,0,4.21,0.08,-0.08,0,8.5,2,-2,0,,,,,46.0907,0.0996,-0.0991,
1,6,Radial Velocity,49.175,0.045,-0.045,0,0.2687,0.0019,-0.0019,0,,,,,,,,,,,,,0.09,0.062,-0.062,0,,,,,,,,,0,G0 V,5836,44,-44,0,1.38,0.08,-0.08,0,1.07,0.02,-0.02,0,0.14,0.04,-0.04,0,4.21,0.08,-0.08,0,8.5,2,-2,0,,,,,46.0907,0.0996,-0.0991,
1,6,Radial Velocity,676.8,7.9,-7.9,0,1.543,0.016,-0.016,0,,,,,,,,,,,,,0.031,0.057,-0.031,0,,,,,,,,,0,G0 V,5836,44,-44,0,1.38,0.08,-0.08,0,1.07,0.02,-0.02,0,0.14,0.04,-0.04,0,4.21,0.08,-0.08,0,8.5,2,-2,0,,,,,46.0907,0.0996,-0.0991,
1,6,Radial Velocity,5700,1500,-1500,0,6.36,1.02,-1.02,0,,,,,,,,,,,,,0.032,0.08,-0.032,0,,,,,,,,,0,G0 V,5836,44,-44,0,1.38,0.08,-0.08,0,1.07,0.02,-0.02,0,0.14,0.04,-0.04,0,4.21,0.08,-0.08,0,8.5,2,-2,0,,,,,46.0907,0.0996,-0.0991,
1,6,Transit,2.35309,0.00022,-0.00022,0,0.03385,0.00023,-0.00029,0,1.51,0.11,-0.084,0,3.1,1.05,-1.05,0,4.9,2,-1.7,0,0.048,0.054,-0.033,0,,,,,,,,,0,,5356.3,41.8,-13.1,0,0.86,0.03,-0.02,0,0.94,0.02,-0.02,0,0.14,0.04,-0.04,0,4.54,0.02,-0.04,0,2.8,3.8,-1.7,0,2.064,0.137,-1.41,0,202.585,2.028,-1.989,
1,6,Transit,3.56004,0.00012,-0.00011,0,0.04461,0.0003,-0.00038,0,2.299,0.12,-0.087,0,6.31,1.13,-1.23,0,2.8,0.7,-0.6,0,0.045,0.051,-0.032,0,,,,,,,,,0,,5356.3,41.8,-13.1,0,0.86,0.03,-0.02,0,0.94,0.02,-0.02,0,0.14,0.04,-0.04,0,4.54,0.02,-0.04,0,2.8,3.8,-1.7,0,2.064,0.137,-1.41,0,202.585,2.028,-1.989,
1,6,Transit,5.40479,0.00021,-0.00021,0,0.05893,0.0004,-0.0005,0,2.39,0.104,-0.084,0,7.92,1.39,-1.35,0,3.1,0.7,-0.6,0,0.043,0.041,-0.03,0,,,,,,,,,0,,5356.3,41.8,-13.1,0,0.86,0.03,-0.02,0,0.94,0.02,-0.02,0,0.14,0.04,-0.04,0,4.54,0.02,-0.04,0,2.8,3.8,-1.7,0,2.064,0.137,-1.41,0,202.585,2.028,-1.989,
1,6,Transit,8.26146,0.00021,-0.00022,0,0.0782,0.00053,-0.00066,0,3.39,0.156,-0.11,0,12.97,1.98,-1.99,0,1.8,0.4,-0.3,0,0.077,0.048,-0.049,0,,,,,,,,,0,,5356.3,41.8,-13.1,0,0.86,0.03,-0.02,0,0.94,0.02,-0.02,0,0.14,0.04,-0.04,0,4.54,0.02,-0.04,0,2.8,3.8,-1.7,0,2.064,0.137,-1.41,0,202.585,2.028,-1.989,
1,6,Transit,12.75758,0.0005,-0.00048,0,0.10447,0.0007,-0.00088,0,2.904,0.164,-0.111,0,1.63,2.12,-1.18,0,0.4,0.5,-0.3,0,0.062,0.064,-0.043,0,,,,,,,,,0,,5356.3,41.8,-13.1,0,0.86,0.03,-0.02,0,0.94,0.02,-0.02,0,0.14,0.04,-0.04,0,4.54,0.02,-0.04,0,2.8,3.8,-1.7,0,2.064,0.137,-1.41,0,202.585,2.028,-1.989,
1,6,Transit,41.96797,0.00843,-0.00725,0,0.23109,0.00154,-0.00196,0,3.013,0.303,-0.251,0,4.32,5.26,-3.03,0,0.9,1.1,-0.6,0,0.059,0.063,-0.04,0,,,,,,,,,0,,5356.3,41.8,-13.1,0,0.86,0.03,-0.02,0,0.94,0.02,-0.02,0,0.14,0.04,-0.04,0,4.54,0.02,-0.04,0,2.8,3.8,-1.7,0,2.064,0.137,-1.41,0,202.585,2.028,-1.989,
1,6,Transit,10.3039,0.0006,-0.001,0,0.091,0.001,-0.001,0,1.8,0.03,-0.05,0,1.9,1.4,-1,0,1.72,1.25,-0.91,0,0.045,0.068,-0.042,0,,,,,,,,,1,,5663,55,-66,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,4.37,0.01,-0.02,0,8.5,1.1,-1.4,0,1.122,0.049,-0.06,0,646.346,6.375,-6.375,
1,6,Transit,13.0241,0.0013,-0.0008,0,0.107,0.001,-0.001,0,2.87,0.05,-0.06,0,2.9,2.9,-1.6,0,0.66,0.66,-0.35,0,0.026,0.063,-0.013,0,,,,,,,,,1,,5663,55,-66,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,4.37,0.01,-0.02,0,8.5,1.1,-1.4,0,1.122,0.049,-0.06,0,646.346,6.375,-6.375,
1,6,Transit,22.6845,0.0009,-0.0009,0,0.155,0.001,-0.001,0,3.12,0.06,-0.07,0,7.3,0.8,-1.5,0,1.28,0.14,-0.27,0,0.004,0.007,-0.002,0,,,,,,,,,1,,5663,55,-66,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,4.37,0.01,-0.02,0,8.5,1.1,-1.4,0,1.122,0.049,-0.06,0,646.346,6.375,-6.375,
1,6,Transit,31.9996,0.0008,-0.0012,0,0.195,0.002,-0.002,0,4.19,0.07,-0.09,0,8,1.5,-2.1,0,0.58,0.11,-0.16,0,0.012,0.006,-0.006,0,,,,,,,,,1,,5663,55,-66,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,4.37,0.01,-0.02,0,8.5,1.1,-1.4,0,1.122,0.049,-0.06,0,646.346,6.375,-6.375,
